name,handedness,height,weight,avg,HR,BMI,Body_Size
Fernando Gonzalez,R,70,165,0.235,17,24,Normal
Dalton Jones,L,73,180,0.235,41,24,Normal
Phil Linz,R,73,180,0.235,11,24,Normal
Dave Kingman,R,78,210,0.236,442,24,Normal
Kurt Bevacqua,R,72,180,0.236,27,24,Normal
Byron Browne,R,74,190,0.236,30,24,Normal
Paul Householder,B,72,180,0.236,29,24,Normal
Randy Hundley,R,71,170,0.236,82,24,Normal
Dale Berra,R,72,180,0.236,49,24,Normal
Billy Grabarkewitz,R,70,165,0.236,28,24,Normal
Don Hahn,R,73,180,0.236,7,24,Normal
Rafael Landestoy,B,70,165,0.237,4,24,Normal
Jerry McNertney,R,72,180,0.237,27,24,Normal
Julio Cruz,B,69,165,0.237,23,24,Normal
Harry Spilman,L,73,180,0.237,18,24,Normal
Jackie Gutierrez,R,71,175,0.237,4,24,Normal
Rick Rhoden,R,75,195,0.238,9,24,Normal
Phil Gagliano,R,73,180,0.238,14,24,Normal
Ron Roenicke,B,72,180,0.238,17,24,Normal
Wayne Garrett,L,71,175,0.239,61,24,Normal
Bernie Allen,L,72,175,0.239,73,24,Normal
Ken Harrelson,R,74,190,0.239,131,24,Normal
Ron Hodges,L,73,185,0.24,19,24,Normal
Rod Kanehl,R,73,180,0.241,6,24,Normal
Mickey Klutts,R,71,170,0.241,14,24,Normal
Ron Stone,L,74,185,0.241,6,24,Normal
Wayne Tolleson,B,69,160,0.241,9,24,Normal
Manny Castillo,B,69,160,0.242,3,24,Normal
Ozzie Virgil,R,73,180,0.243,98,24,Normal
Chuck Hiller,L,71,170,0.243,20,24,Normal
Nate Colbert,R,74,190,0.243,173,24,Normal
Gary Woods,R,74,185,0.243,13,24,Normal
Bobby Mitchell,L,70,170,0.243,3,24,Normal
Steve Dillard,R,73,180,0.243,13,24,Normal
Pedro Gonzalez,R,72,176,0.244,8,24,Normal
Johnny Jeter,R,73,180,0.244,18,24,Normal
Jack Brohamer,L,70,165,0.245,30,24,Normal
Bobby Brown,B,74,190,0.245,26,24,Normal
Ted Cox,R,75,195,0.245,10,24,Normal
Tom Tresh,B,73,180,0.245,153,24,Normal
Alan Ashby,B,74,185,0.245,90,24,Normal
Tom Brookens,R,70,165,0.246,71,24,Normal
Dave Marshall,L,73,182,0.246,16,24,Normal
Bruce Miller,R,73,185,0.246,1,24,Normal
Dwayne Murphy,L,73,185,0.246,166,24,Normal
Garry Hancock,L,72,175,0.247,12,24,Normal
Lou Clinton,R,73,185,0.247,65,24,Normal
Marvell Wynne,L,71,175,0.247,40,24,Normal
Mike Lum,L,72,180,0.247,90,24,Normal
Bob Heise,R,72,175,0.247,1,24,Normal
Merritt Ranew,L,71,170,0.247,8,24,Normal
Jim Lyttle,L,72,180,0.248,9,24,Normal
Ken McMullen,R,75,190,0.248,156,24,Normal
Dick Howser,R,68,155,0.248,16,24,Normal
Graig Nettles,L,72,180,0.248,390,24,Normal
Rob Wilfong,L,73,180,0.248,39,24,Normal
Carl Warwick,R,70,170,0.248,31,24,Normal
Mickey Stanley,R,73,185,0.248,117,24,Normal
Junior Kennedy,R,71,175,0.248,4,24,Normal
Larry Harlow,L,74,185,0.248,12,24,Normal
Gary Thomasson,L,73,180,0.249,61,24,Normal
Alex Trevino,R,70,165,0.249,23,24,Normal
Tito Landrum,R,71,175,0.249,13,24,Normal
Tom Grieve,R,74,190,0.249,65,24,Normal
